ISO_WEEKSTARTDATE,ISO_WEEK,INF_ALL,SPEC_PROCESSED_NB,positivity_rate,temperature_C,humidity_pct,wind_speed_ms
2017-01-02,1,0,12,0.0,17.07328869047619,51.46354166666666,3.3516889880952383
2017-01-09,2,0,7,0.0,17.472842261904763,48.58779761904762,3.347016369047619
2017-01-16,3,1,17,0.058823529411764705,17.95029761904762,55.32440476190476,3.262306547619048
2017-01-23,4,5,42,0.11904761904761904,17.446651785714284,52.926339285714285,3.8273288690476193
2017-01-30,5,1,77,0.012987012987012988,15.061979166666667,46.68526785714286,4.067983630952381
2017-02-06,6,3,72,0.041666666666666664,17.611160714285713,48.24925595238096,3.772090773809524
2017-02-13,7,8,60,0.13333333333333333,16.032366071428573,62.23735119047619,4.04218005952381
2017-02-20,8,10,73,0.136986301369863,16.57358630952381,58.204613095238095,3.5708705357142856
2017-02-27,9,8,61,0.13114754098360656,19.049255952380957,56.91964285714286,3.574650297619048
2017-03-06,10,11,79,0.13924050632911392,21.18117559523809,46.43526785714286,3.8026190476190473
2017-03-13,11,9,65,0.13846153846153847,21.468824404761904,48.02604166666666,4.104776785714286
2017-03-20,12,6,53,0.11320754716981132,21.017261904761902,56.254464285714285,4.205111607142857
2017-03-27,13,5,40,0.125,23.03742559523809,51.31547619047619,3.5146205357142857
2017-04-03,14,3,40,0.075,24.15721726190476,40.21726190476191,3.911391369047619
2017-04-10,15,3,43,0.06976744186046512,26.812723214285715,36.798363095238095,4.247790178571428
2017-04-17,16,8,45,0.17777777777777778,25.91361607142857,36.73065476190476,4.083630952380952
2017-04-24,17,6,52,0.11538461538461539,26.81309523809524,37.37797619047619,3.593988095238095
2017-05-01,18,9,46,0.1956521739130435,27.73549107142857,39.25595238095238,3.7722991071428567
2017-05-08,19,12,34,0.35294117647058826,29.049330357142857,38.83556547619048,2.996324404761905
2017-05-15,20,10,38,0.2631578947368421,29.709747023809523,38.45610119047619,3.641324404761905
2017-05-22,21,3,32,0.09375,29.4875,34.48214285714286,4.284263392857143
2017-05-29,22,3,29,0.10344827586206896,30.25617559523809,32.35044642857143,4.3024925595238095
2017-06-05,23,15,49,0.30612244897959184,30.84888392857143,29.24404761904762,3.5449330357142856
2017-06-12,24,14,48,0.2916666666666667,31.92998511904762,31.60639880952381,3.600178571428572
2017-06-19,25,11,47,0.23404255319148937,31.320982142857144,34.75372023809524,4.331822916666667
2017-06-26,26,10,40,0.25,32.12998511904762,30.401785714285715,3.852038690476191
2017-07-03,27,9,28,0.32142857142857145,32.90089285714286,30.83110119047619,4.22953869047619
2017-07-10,28,3,27,0.1111111111111111,33.41949404761905,28.736607142857142,4.155282738095238
2017-07-17,29,2,22,0.09090909090909091,33.07872023809524,33.94642857142857,3.825811011904762
2017-07-24,30,6,28,0.21428571428571427,32.96889880952381,35.126488095238095,3.805342261904762
2017-07-31,31,2,36,0.05555555555555555,32.8984375,37.33705357142857,3.698288690476191
2017-08-07,32,6,56,0.10714285714285714,32.532738095238095,40.29092261904762,3.340550595238096
2017-08-14,33,11,43,0.2558139534883721,32.443601190476194,41.546875,3.516279761904762
2017-08-21,34,7,58,0.1206896551724138,32.36956845238095,41.57663690476191,3.423184523809524
2017-08-28,35,6,43,0.13953488372093023,31.416666666666668,39.830357142857146,3.2528869047619047
2017-09-04,36,11,46,0.2391304347826087,31.27142857142857,36.79464285714286,3.47671130952381
2017-09-11,37,5,30,0.16666666666666666,30.815625,35.46279761904762,3.2044791666666668
2017-09-18,38,6,39,0.15384615384615385,29.766145833333333,38.75967261904762,3.374501488095238
2017-09-25,39,15,50,0.3,28.615401785714287,37.395833333333336,3.0303348214285712
2017-10-02,40,9,43,0.20930232558139536,27.49449404761905,39.06622023809524,3.3247767857142856
2017-10-09,41,14,56,0.25,26.827380952380956,41.911458333333336,3.466741071428572
2017-10-16,42,23,76,0.3026315789473684,25.80848214285714,40.67782738095238,3.191346726190476
2017-10-23,43,24,75,0.32,25.52172619047619,43.06845238095239,3.0430505952380957
2017-10-30,44,39,109,0.3577981651376147,23.934300595238096,47.04092261904762,3.0234598214285717
2017-11-06,45,35,104,0.33653846153846156,22.887723214285717,48.50967261904762,2.907410714285714
2017-11-13,46,41,99,0.41414141414141414,21.93638392857143,43.06994047619048,3.172269345238095
2017-11-20,47,46,118,0.3898305084745763,19.688020833333333,58.664434523809526,3.4964360119047617
2017-11-27,48,42,134,0.31343283582089554,19.55483630952381,59.77827380952381,3.3264434523809525
2017-12-04,49,42,139,0.302158273381295,16.864136904761907,45.113839285714285,3.6821875
2017-12-11,50,34,135,0.2518518518518518,16.7515625,41.01413690476191,3.27890625
2017-12-18,51,47,154,0.3051948051948052,17.976636904761904,40.551339285714285,3.3219940476190475
2017-12-25,52,41,135,0.3037037037037037,17.571875,50.83184523809524,3.2940029761904763
2018-01-01,1,35,139,0.2517985611510791,16.540550595238095,54.50297619047619,3.697909226190476
2018-01-08,2,18,107,0.16822429906542055,15.697023809523808,40.973214285714285,3.378043154761905
2018-01-15,3,27,114,0.23684210526315788,16.02596726190476,48.93303571428572,3.667678571428572
2018-01-22,4,20,109,0.1834862385321101,17.301041666666666,49.80357142857143,3.9100148809523807
2018-01-29,5,18,125,0.144,15.348363095238096,48.76860119047619,3.3007142857142857
2018-02-05,6,35,191,0.18324607329842932,19.093229166666667,37.57291666666666,2.763846726190476
2018-02-12,7,41,201,0.20398009950248755,20.939508928571428,47.68154761904762,4.404099702380952
2018-02-19,8,23,137,0.1678832116788321,20.19970238095238,52.15625,3.3622991071428574
2018-02-26,9,33,229,0.14410480349344978,19.79501488095238,57.739583333333336,3.3775595238095235
2018-03-05,10,31,250,0.124,22.754985119047618,41.01041666666666,3.3059598214285715
2018-03-12,11,25,230,0.10869565217391304,22.276636904761904,41.673363095238095,3.5634747023809523
2018-03-19,12,19,222,0.08558558558558559,24.311904761904763,33.85639880952381,3.331383928571429
2018-03-26,13,17,204,0.08333333333333333,24.934672619047618,36.57514880952381,4.176049107142857
2018-04-02,14,21,160,0.13125,24.26480654761905,48.61979166666666,3.353534226190476
2018-04-09,15,20,182,0.10989010989010989,23.778348214285717,49.098214285714285,3.563452380952381
2018-04-16,16,25,152,0.16447368421052633,25.75684523809524,39.50892857142857,3.641361607142857
2018-04-23,17,19,121,0.15702479338842976,24.69441964285714,48.01488095238096,4.133556547619048
2018-04-30,18,19,144,0.13194444444444445,27.608854166666667,39.62872023809524,3.3654910714285715
2018-05-07,19,9,139,0.06474820143884892,28.425074404761904,33.132440476190474,4.403913690476191
