COUNTRY_AREA_TERRITORY,ISO_YEAR,ISO_WEEK,ISO_WEEKSTARTDATE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1,AH1N12009,AH3,AH5,AH7N9,ANOTSUBTYPED,INF_A,BVIC_2DEL,BVIC_3DEL,BVIC_NODEL,BYAM,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,RSV,RSV_PROCESSED,ILI_ACTIVITY
Saudi Arabia,2015,6,2015-02-02,1,1,,,,,,,,,,,,,,,1,,,
Saudi Arabia,2016,36,2016-09-05,1,1,,,,,,,,,,,,,,,1,,,
Saudi Arabia,2016,52,2016-12-26,1,3,,,,,,,,,,,,,,,1,,,
Saudi Arabia,2017,1,2017-01-02,12,12,,,,,,,,,,,,,,,12,,,
Saudi Arabia,2017,2,2017-01-09,7,7,,,,,,,,,,,,,,,7,,,
Saudi Arabia,2017,3,2017-01-16,17,17,,,,,,,,,,,,1,1,1,16,,,
Saudi Arabia,2017,4,2017-01-23,42,42,,2,,,,,2,,,,,3,3,5,37,,,
Saudi Arabia,2017,5,2017-01-30,77,82,,,,,,1,1,,,,,,,1,76,,,
Saudi Arabia,2017,6,2017-02-06,72,72,,,,,,2,2,,,,,1,1,3,69,,,
Saudi Arabia,2017,7,2017-02-13,60,60,,1,,,,5,6,,,,,2,2,8,52,,,
Saudi Arabia,2017,8,2017-02-20,73,76,,5,,,,2,7,,,,,3,3,10,63,,,
Saudi Arabia,2017,9,2017-02-27,61,61,,4,,,,2,6,,,,,2,2,8,53,,,
Saudi Arabia,2017,10,2017-03-06,79,79,,2,,,,2,4,,,,,7,7,11,68,,,
Saudi Arabia,2017,11,2017-03-13,65,65,,6,,,,3,9,,,,,,,9,56,,,
Saudi Arabia,2017,12,2017-03-20,53,53,,2,,,,4,6,,,,,,,6,47,,,
Saudi Arabia,2017,13,2017-03-27,40,42,,,,,,3,3,,,,,2,2,5,35,,,
Saudi Arabia,2017,14,2017-04-03,40,41,,,,,,1,1,,,,,2,2,3,37,,,
Saudi Arabia,2017,15,2017-04-10,43,44,,,,,,2,2,,,,,1,1,3,40,,,
Saudi Arabia,2017,16,2017-04-17,45,45,,,,,,6,6,,,,,2,2,8,37,,,
Saudi Arabia,2017,17,2017-04-24,52,54,,1,,,,2,3,,,,,3,3,6,46,,,
Saudi Arabia,2017,18,2017-05-01,46,47,,3,,,,2,5,,,,,4,4,9,37,,,
Saudi Arabia,2017,19,2017-05-08,34,35,,4,,,,3,7,,,,,5,5,12,22,,,
Saudi Arabia,2017,20,2017-05-15,38,39,,6,,,,1,7,,,,,3,3,10,28,,,
Saudi Arabia,2017,21,2017-05-22,32,32,,2,,,,,2,,,,,1,1,3,29,,,
Saudi Arabia,2017,22,2017-05-29,29,30,,1,,,,2,3,,,,,,,3,26,,,
Saudi Arabia,2017,23,2017-06-05,49,49,,11,,,,2,13,,,,,2,2,15,34,,,
Saudi Arabia,2017,24,2017-06-12,48,49,,7,,,,4,11,,,,,3,3,14,34,,,
Saudi Arabia,2017,25,2017-06-19,47,48,,4,,,,3,7,,,,,4,4,11,36,,,
Saudi Arabia,2017,26,2017-06-26,40,40,,2,,,,6,8,,,,,2,2,10,30,,,
Saudi Arabia,2017,27,2017-07-03,28,28,,1,,,,5,6,,,,,3,3,9,18,,,
Saudi Arabia,2017,28,2017-07-10,27,27,,1,,,,1,2,,,,,1,1,3,24,,,
Saudi Arabia,2017,29,2017-07-17,22,22,,,,,,1,1,,,,,1,1,2,20,,,
Saudi Arabia,2017,30,2017-07-24,28,29,,,,,,1,1,,,,,5,5,6,22,,,
Saudi Arabia,2017,31,2017-07-31,36,36,,,,,,1,1,,,,,1,1,2,34,,,
Saudi Arabia,2017,32,2017-08-07,56,56,,,,,,3,3,,,,,3,3,6,50,,,
