COUNTRY_AREA_TERRITORY,ISO_YEAR,ISO_WEEK,ISO_WEEKSTARTDATE,SPEC_PROCESSED_NB,SPEC_RECEIVED_NB,AH1,AH1N12009,AH3,ANOTSUBTYPED,INF_A,BVIC_NODEL,BNOTDETERMINED,INF_B,INF_ALL,INF_NEGATIVE,RSV
Saudi Arabia,2015,6,2015-02-02,1,1,0,0,0,0,0,0,0,0,0,1,0
Saudi Arabia,2016,36,2016-09-05,1,1,0,0,0,0,0,0,0,0,0,1,0
Saudi Arabia,2016,52,2016-12-26,1,3,0,0,0,0,0,0,0,0,0,1,0
Saudi Arabia,2017,1,2017-01-02,12,12,0,0,0,0,0,0,0,0,0,12,0
Saudi Arabia,2017,2,2017-01-09,7,7,0,0,0,0,0,0,0,0,0,7,0
Saudi Arabia,2017,3,2017-01-16,17,17,0,0,0,0,0,0,1,1,1,16,0
Saudi Arabia,2017,4,2017-01-23,42,42,0,2,0,0,2,0,3,3,5,37,0
Saudi Arabia,2017,5,2017-01-30,77,82,0,0,0,1,1,0,0,0,1,76,0
Saudi Arabia,2017,6,2017-02-06,72,72,0,0,0,2,2,0,1,1,3,69,0
Saudi Arabia,2017,7,2017-02-13,60,60,0,1,0,5,6,0,2,2,8,52,0
Saudi Arabia,2017,8,2017-02-20,73,76,0,5,0,2,7,0,3,3,10,63,0
Saudi Arabia,2017,9,2017-02-27,61,61,0,4,0,2,6,0,2,2,8,53,0
Saudi Arabia,2017,10,2017-03-06,79,79,0,2,0,2,4,0,7,7,11,68,0
Saudi Arabia,2017,11,2017-03-13,65,65,0,6,0,3,9,0,0,0,9,56,0
Saudi Arabia,2017,12,2017-03-20,53,53,0,2,0,4,6,0,0,0,6,47,0
Saudi Arabia,2017,13,2017-03-27,40,42,0,0,0,3,3,0,2,2,5,35,0
Saudi Arabia,2017,14,2017-04-03,40,41,0,0,0,1,1,0,2,2,3,37,0
Saudi Arabia,2017,15,2017-04-10,43,44,0,0,0,2,2,0,1,1,3,40,0
Saudi Arabia,2017,16,2017-04-17,45,45,0,0,0,6,6,0,2,2,8,37,0
Saudi Arabia,2017,17,2017-04-24,52,54,0,1,0,2,3,0,3,3,6,46,0
Saudi Arabia,2017,18,2017-05-01,46,47,0,3,0,2,5,0,4,4,9,37,0
Saudi Arabia,2017,19,2017-05-08,34,35,0,4,0,3,7,0,5,5,12,22,0
Saudi Arabia,2017,20,2017-05-15,38,39,0,6,0,1,7,0,3,3,10,28,0
Saudi Arabia,2017,21,2017-05-22,32,32,0,2,0,0,2,0,1,1,3,29,0
Saudi Arabia,2017,22,2017-05-29,29,30,0,1,0,2,3,0,0,0,3,26,0
Saudi Arabia,2017,23,2017-06-05,49,49,0,11,0,2,13,0,2,2,15,34,0
Saudi Arabia,2017,24,2017-06-12,48,49,0,7,0,4,11,0,3,3,14,34,0
Saudi Arabia,2017,25,2017-06-19,47,48,0,4,0,3,7,0,4,4,11,36,0
Saudi Arabia,2017,26,2017-06-26,40,40,0,2,0,6,8,0,2,2,10,30,0
Saudi Arabia,2017,27,2017-07-03,28,28,0,1,0,5,6,0,3,3,9,18,0
Saudi Arabia,2017,28,2017-07-10,27,27,0,1,0,1,2,0,1,1,3,24,0
Saudi Arabia,2017,29,2017-07-17,22,22,0,0,0,1,1,0,1,1,2,20,0
Saudi Arabia,2017,30,2017-07-24,28,29,0,0,0,1,1,0,5,5,6,22,0
Saudi Arabia,2017,31,2017-07-31,36,36,0,0,0,1,1,0,1,1,2,34,0
Saudi Arabia,2017,32,2017-08-07,56,56,0,0,0,3,3,0,3,3,6,50,0
Saudi Arabia,2017,33,2017-08-14,43,43,0,2,0,8,10,0,1,1,11,32,0
Saudi Arabia,2017,34,2017-08-21,58,58,0,1,0,5,6,0,1,1,7,51,0
Saudi Arabia,2017,35,2017-08-28,43,45,0,2,0,4,6,0,0,0,6,37,0
Saudi Arabia,2017,36,2017-09-04,46,47,0,6,0,5,11,0,0,0,11,35,0
Saudi Arabia,2017,37,2017-09-11,30,31,0,2,0,3,5,0,0,0,5,25,0
Saudi Arabia,2017,38,2017-09-18,39,39,0,4,0,2,6,0,0,0,6,33,0
Saudi Arabia,2017,39,2017-09-25,50,50,0,12,0,0,12,0,3,3,15,35,0
Saudi Arabia,2017,40,2017-10-02,43,43,0,6,0,2,8,0,1,1,9,34,0
Saudi Arabia,2017,41,2017-10-09,56,56,0,11,0,2,13,0,1,1,14,42,0
Saudi Arabia,2017,42,2017-10-16,76,77,0,19,0,4,23,0,0,0,23,53,0
Saudi Arabia,2017,43,2017-10-23,75,75,0,21,0,1,22,0,2,2,24,51,0
Saudi Arabia,2017,44,2017-10-30,109,109,0,32,0,4,36,0,3,3,39,70,0
Saudi Arabia,2017,45,2017-11-06,104,104,0,31,0,2,33,0,2,2,35,69,0
Saudi Arabia,2017,46,2017-11-13,99,101,0,31,0,6,37,0,4,4,41,58,0
Saudi Arabia,2017,47,2017-11-20,118,121,0,30,0,7,37,0,9,9,46,72,0
Saudi Arabia,2017,48,2017-11-27,134,139,0,31,0,6,37,0,5,5,42,92,0
Saudi Arabia,2017,49,2017-12-04,139,143,0,30,0,8,38,0,4,4,42,97,0
Saudi Arabia,2017,50,2017-12-11,135,140,0,20,0,7,27,0,7,7,34,101,0
Saudi Arabia,2017,51,2017-12-18,154,155,0,13,0,9,22,0,25,25,47,107,0
Saudi Arabia,2017,52,2017-12-25,135,136,0,16,0,11,27,0,14,14,41,94,0
Saudi Arabia,2018,1,2018-01-01,139,140,0,9,0,7,16,0,19,19,35,104,0
Saudi Arabia,2018,2,2018-01-08,107,109,0,7,0,4,11,0,7,7,18,89,0
Saudi Arabia,2018,3,2018-01-15,114,114,0,10,0,6,16,0,11,11,27,87,0
Saudi Arabia,2018,4,2018-01-22,109,110,0,4,0,7,11,0,9,9,20,89,0
Saudi Arabia,2018,5,2018-01-29,125,128,0,2,0,4,6,0,12,12,18,107,0
Saudi Arabia,2018,6,2018-02-05,191,196,0,7,0,8,15,0,20,20,35,156,0
Saudi Arabia,2018,7,2018-02-12,201,203,0,5,0,5,10,0,31,31,41,160,0
Saudi Arabia,2018,8,2018-02-19,137,141,0,1,0,6,7,0,16,16,23,114,0
Saudi Arabia,2018,9,2018-02-26,229,235,0,0,0,14,14,0,19,19,33,196,0
Saudi Arabia,2018,10,2018-03-05,250,257,0,2,0,9,11,0,20,20,31,219,0
Saudi Arabia,2018,11,2018-03-12,230,236,0,7,0,2,9,0,16,16,25,205,0
Saudi Arabia,2018,12,2018-03-19,222,234,0,2,0,8,10,0,9,9,19,203,0
Saudi Arabia,2018,13,2018-03-26,204,210,0,6,0,2,8,0,9,9,17,187,0
Saudi Arabia,2018,14,2018-04-02,160,165,0,1,0,3,4,0,17,17,21,139,0
Saudi Arabia,2018,15,2018-04-09,182,194,0,0,0,7,7,0,13,13,20,162,0
Saudi Arabia,2018,16,2018-04-16,152,157,0,1,0,10,11,0,14,14,25,127,0
Saudi Arabia,2018,17,2018-04-23,121,124,0,0,0,10,10,0,9,9,19,102,0
Saudi Arabia,2018,18,2018-04-30,144,148,0,4,0,7,11,0,8,8,19,125,0
Saudi Arabia,2018,19,2018-05-07,139,143,0,2,0,5,7,0,2,2,9,130,0
Saudi Arabia,2018,20,2018-05-14,130,135,0,4,0,5,9,0,3,3,12,118,0
Saudi Arabia,2018,21,2018-05-21,116,118,0,1,0,4,5,0,1,1,6,110,0
Saudi Arabia,2018,22,2018-05-28,137,138,0,2,0,2,4,0,1,1,5,132,0
Saudi Arabia,2018,23,2018-06-04,128,132,0,1,0,10,11,0,1,1,12,116,0
Saudi Arabia,2018,24,2018-06-11,141,148,0,2,0,6,8,0,1,1,9,132,0
Saudi Arabia,2018,25,2018-06-18,134,140,0,1,0,5,6,0,1,1,7,127,0
Saudi Arabia,2018,26,2018-06-25,98,103,0,1,0,3,4,0,4,4,8,90,0
